count,build,encode
4226922,37,9433293
4244658,37,9430887
4242566,35,9414538
4268116,36,9415321
4206992,36,9439197
4216298,38,9465608
4230659,37,9513024
4280014,37,9625652
4439381,38,9770309
4349878,37,9891360
