s, 2, 596507
s, 4, 350724
s, 8, 264510
s, 16, 177717
s, 32, 120978
s, 64, 136815
m, 2, 3395076
m, 4, 1979349
m, 8, 1357758
m, 16, 982104
m, 32, 679441
m, 64, 637013
l, 2, 6700638
l, 4, 3769336
l, 8, 3164738
l, 16, 1763913
l, 32, 1323232
l, 64, 1272524
